table_name,column,dtype,missing_count,missing_ratio,nunique
accounts,account_id,str,0,0.0,500
accounts,account_name,str,0,0.0,500
accounts,industry,str,0,0.0,5
accounts,country,str,0,0.0,7
accounts,signup_date,datetime64[us],0,0.0,370
accounts,referral_source,str,0,0.0,5
accounts,plan_tier,str,0,0.0,3
accounts,seats,int64,0,0.0,73
accounts,is_trial,bool,0,0.0,2
accounts,churn_flag,bool,0,0.0,2
subscriptions,subscription_id,str,0,0.0,5000
subscriptions,account_id,str,0,0.0,500
subscriptions,start_date,datetime64[us],0,0.0,625
subscriptions,end_date,datetime64[us],4514,90.28,209
subscriptions,plan_tier,str,0,0.0,3
subscriptions,seats,int64,0,0.0,123
subscriptions,mrr_amount,int64,0,0.0,306
subscriptions,arr_amount,int64,0,0.0,306
subscriptions,is_trial,bool,0,0.0,2
subscriptions,upgrade_flag,bool,0,0.0,2
subscriptions,downgrade_flag,bool,0,0.0,2
subscriptions,churn_flag,bool,0,0.0,2
subscriptions,billing_frequency,str,0,0.0,2
subscriptions,auto_renew_flag,bool,0,0.0,2
feature_usage,usage_id,str,0,0.0,24979
feature_usage,subscription_id,str,0,0.0,4967
feature_usage,usage_date,datetime64[us],0,0.0,731
feature_usage,feature_name,str,0,0.0,40
feature_usage,usage_count,int64,0,0.0,27
feature_usage,usage_duration_secs,int64,0,0.0,4168
feature_usage,error_count,int64,0,0.0,9
feature_usage,is_beta_feature,bool,0,0.0,2
support_tickets,ticket_id,str,0,0.0,2000
support_tickets,account_id,str,0,0.0,492
support_tickets,submitted_at,datetime64[us],0,0.0,671
support_tickets,closed_at,datetime64[us],0,0.0,1893
support_tickets,resolution_time_hours,float64,0,0.0,72
support_tickets,priority,str,0,0.0,4
support_tickets,first_response_time_minutes,int64,0,0.0,180
support_tickets,satisfaction_score,float64,825,41.25,4
support_tickets,escalation_flag,bool,0,0.0,2
churn_events,churn_event_id,str,0,0.0,600
churn_events,account_id,str,0,0.0,352
churn_events,churn_date,datetime64[us],0,0.0,311
churn_events,reason_code,str,0,0.0,6
churn_events,refund_amount_usd,float64,0,0.0,142
churn_events,preceding_upgrade_flag,bool,0,0.0,2
churn_events,preceding_downgrade_flag,bool,0,0.0,2
churn_events,is_reactivation,bool,0,0.0,2
churn_events,feedback_text,str,148,24.67,4
