feature,score
account_age_days,0.08240124994826818
health_score,0.07890288324878368
beta_feature_usage_count,0.07659481942086002
max_subscription_duration_days,0.07649447978607689
avg_subscription_duration_days,0.07434947881507387
unique_feature_count,0.0676761926411479
days_since_last_subscription_change,0.06465549164487487
total_usage_count,0.06418579719869756
escalation_ratio,0.06382492102419883
total_usage_duration_secs,0.06309490481881737
trial_subscription_count,0.05341638644579042
total_subscriptions,0.04727545374825433
ended_subscriptions_count,0.04494875106650864
is_trial,0.044687293619314575
auto_renew_count,0.0375231635789766
active_subscriptions,0.03597216614837435
escalation_count,0.035890809747349504
avg_satisfaction_score,0.03456081679193256
usage_per_subscription,0.02761635182582623
latest_auto_renew_flag,0.017242106469551714
avg_satisfaction_score_missing_flag,0.009972689213740117
avg_resolution_time_hours_missing_flag,0.009234748133298049
avg_first_response_time_minutes_missing_flag,0.009234748133298049
auto_renew_ratio,0.007990688912004733
upgrade_count,-0.0016985849182228282
total_error_count,-0.002611874833896513
downgrade_count,-0.00694099773744433
latest_is_trial,-0.011551343845998938
max_mrr_amount,-0.01962608633059834
total_tickets,-0.020425024485549996
seats,-0.033436772122812645
avg_resolution_time_hours,-0.03353668307169759
total_arr_amount,-0.038920277069604575
max_sub_seats,-0.041521696489472466
avg_sub_seats,-0.04563888129517586
recent_upgrade_90d,-0.04649830817596109
ticket_per_subscription,-0.05281250249379653
error_per_subscription,-0.05358497052289888
recent_downgrade_90d,-0.05864455445352646
avg_arr_amount,-0.06020824634587485
avg_mrr_amount,-0.06020824634587495
active_subscription_ratio,-0.06824615537448676
avg_first_response_time_minutes,-0.06842776707733636
error_rate,-0.08745008874319735
days_since_last_usage,-0.11958158539750958
is_inactive_user,
has_no_ticket_history,
